date,ouv,haut,bas,clot,vol,devise,Unnamed: 7
06/04/2023 00:00,2021.51,2021.51,2001.36,2007.61,0,USD,
05/04/2023 00:00,2021.29,2031.93,2010.79,2020.7,0,USD,
04/04/2023 00:00,1985.36,2024.95,1977.25,2021.35,0,USD,
03/04/2023 00:00,1969.84,1990.48,1949.8,1984.04,0,USD,
31/03/2023 00:00,1980.05,1986.67,1967.05,1969.58,0,USD,
30/03/2023 00:00,1964.09,1975.15,1955.8,1969.7,0,USD,
29/03/2023 00:00,1973.51,1974.45,1958.94,1963.91,0,USD,
28/03/2023 00:00,1957.81,1975.2,1949.35,1972.37,0,USD,
27/03/2023 00:00,1975.36,1978.65,1944.5,1957.32,0,USD,
24/03/2023 00:00,1992.64,2002.8,1975.25,1977.47,0,USD,
23/03/2023 00:00,1967.5,2003.14,1966.3,1993.84,0,USD,
22/03/2023 00:00,1942.01,1977.93,1934.97,1969.94,0,USD,
21/03/2023 00:00,1978.19,1985.08,1935.57,1940.53,0,USD,
20/03/2023 00:00,1976.47,2009.3,1966.38,1979.09,0,USD,
17/03/2023 00:00,1920.04,1989.24,1918.55,1989.01,0,USD,
16/03/2023 00:00,1921.16,1933.31,1907.66,1919.47,0,USD,
15/03/2023 00:00,1904.64,1937.07,1885.96,1918.39,0,USD,
14/03/2023 00:00,1910.36,1914.1,1905.57,1902.4,0,USD,
13/03/2023 00:00,1886.39,1914.51,1871.64,1913.56,0,USD,
10/03/2023 00:00,1831.11,1870.03,1827.84,1867.83,0,USD,
09/03/2023 00:00,1814.6,1835.08,1812.3,1830.92,0,USD,
08/03/2023 00:00,1814.19,1823.92,1809.53,1813.81,0,USD,
07/03/2023 00:00,1846.37,1851.61,1812.8,1814.06,0,USD,
06/03/2023 00:00,1853.65,1857.88,1845.34,1846.92,0,USD,
03/03/2023 00:00,1836.45,1856.36,1836.44,1855.0,0,USD,
02/03/2023 00:00,1837.7,1838.65,1830.15,1836.26,0,USD,
01/03/2023 00:00,1827.09,1844.49,1823.15,1837.18,0,USD,
28/02/2023 00:00,1817.48,1830.97,1805.18,1826.65,0,USD,
27/02/2023 00:00,1812.06,1820.03,1806.77,1816.48,0,USD,
24/02/2023 00:00,1822.67,1827.83,1809.08,1811.04,0,USD,
23/02/2023 00:00,1825.46,1833.8,1817.84,1824.29,0,USD,
22/02/2023 00:00,1835.06,1845.57,1823.66,1825.26,0,USD,
21/02/2023 00:00,1842.29,1843.67,1830.27,1835.13,0,USD,
20/02/2023 00:00,1841.46,1847.38,1837.2,1841.44,0,USD,
17/02/2023 00:00,1835.35,1843.53,1818.75,1841.46,0,USD,
16/02/2023 00:00,1836.73,1845.14,1827.54,1837.87,0,USD,
15/02/2023 00:00,1853.74,1859.53,1830.82,1834.59,0,USD,
