date	ouv	haut	bas	clot	vol	devise	
22/04/2013 00:00	1406.8	1434.9	1406.8	1421.3	70	USD	
23/04/2013 00:00	1429.5	1429.5	1405.8	1413.4	334	USD	
24/04/2013 00:00	1423.2	1430.1	1420.4	1421.1	136	USD	
25/04/2013 00:00	1433	1458.3	1433	1458.3	222	USD	
26/04/2013 00:00	1467.4	1476.2	1451.4	1453	628	USD	
29/04/2013 00:00	1462.7	1475.5	1462.3	1466.5	265	USD	
30/04/2013 00:00	1471.1	1476.6	1461	1471.3	534	USD	
01/05/2013 00:00	1475.8	1477.1	1440	1446.2	131	USD	
02/05/2013 00:00	1459	1471.2	1453.5	1467.3	244	USD	
03/05/2013 00:00	1465.5	1487.1	1461.4	1465	68	USD	
06/05/2013 00:00	1468.1	1477.2	1466.8	1468.7	29	USD	
07/05/2013 00:00	1462	1466.2	1441.2	1451	91	USD	
08/05/2013 00:00	1455.5	1474.7	1450.7	1473.6	81	USD	
09/05/2013 00:00	1471.2	1473.4	1453	1468.6	27	USD	
10/05/2013 00:00	1455.6	1459.3	1423	1436.2	567	USD	
13/05/2013 00:00	1440	1440.6	1427.8	1435.2	344	USD	
14/05/2013 00:00	1430.1	1444.4	1422	1426.2	72	USD	
15/05/2013 00:00	1425.7	1425.7	1390.1	1395.7	364	USD	
16/05/2013 00:00	1390.4	1395.1	1370.6	1386.5	30	USD	
17/05/2013 00:00	1386.7	1391.1	1359.1	1361.1	48	USD	
20/05/2013 00:00	1342.9	1387.5	1342.9	1381.6	21	USD	
21/05/2013 00:00	1386.5	1392.3	1358.5	1378.2	51	USD	
22/05/2013 00:00	1387.2	1395.7	1364.5	1370.9	14	USD	
23/05/2013 00:00	1380.6	1394.8	1377.8	1392	57	USD	
24/05/2013 00:00	1380.6	1394.8	1377.8	1391.6	2	USD	
27/05/2013 00:00	1380.6	1394.8	1377.8	1393.1	2	USD	
28/05/2013 00:00	1380.8	1390.4	1379.8	1388	54	USD	
29/05/2013 00:00	1380.8	1390.4	1379.8	1379.6	3	USD	
30/05/2013 00:00	1380.8	1417.5	1379.8	1412.3	44680	USD	
31/05/2013 00:00	1412.4	1421.1	1384.2	1390.9	5578	USD	
03/06/2013 00:00	1389.1	1416.3	1388.3	1413.3	1250	USD	
04/06/2013 00:00	1410.9	1413.7	1389	1398	829	USD	
05/06/2013 00:00	1397.5	1410	1395.6	1399.6	1686	USD	
