date	ouv	haut	bas	clot	vol	devise	
11/04/2018 00:00	0.957	0.961	0.956	0.958	0		
12/04/2018 00:00	0.958	0.965	0.957	0.963	0		
13/04/2018 00:00	0.963	0.964	0.96	0.962	0		
16/04/2018 00:00	0.963	0.964	0.958	0.96	0		
17/04/2018 00:00	0.96	0.968	0.958	0.966	0		
18/04/2018 00:00	0.966	0.97	0.965	0.969	0		
19/04/2018 00:00	0.969	0.973	0.967	0.971	0		
20/04/2018 00:00	0.971	0.976	0.971	0.974	0		
23/04/2018 00:00	0.975	0.979	0.975	0.978	0		
24/04/2018 00:00	0.978	0.981	0.977	0.979	0		
25/04/2018 00:00	0.979	0.985	0.979	0.984	0		
26/04/2018 00:00	0.984	0.99	0.982	0.989	0		
27/04/2018 00:00	0.99	0.992	0.987	0.988	0		
30/04/2018 00:00	0.988	0.992	0.987	0.991	0		
01/05/2018 00:00	0.991	0.997	0.99	0.997	0		
02/05/2018 00:00	0.997	1	0.994	0.998	0		
03/05/2018 00:00	0.998	1	0.996	0.998	0		
04/05/2018 00:00	0.998	1.002	0.997	1	0		
07/05/2018 00:00	1	1.006	0.998	1.003	0		
08/05/2018 00:00	1.003	1.005	1	1.002	0		
09/05/2018 00:00	1.002	1.006	1	1.005	0		
10/05/2018 00:00	1.005	1.006	0.999	1.003	0		
11/05/2018 00:00	1.003	1.007	0.998	1	0		
14/05/2018 00:00	1	1.002	0.996	1.001	0		
15/05/2018 00:00	1	1.004	0.998	1.001	0		
16/05/2018 00:00	1.001	1.002	0.998	1.001	0		
17/05/2018 00:00	1.001	1.003	0.999	1.001	0		
18/05/2018 00:00	1.001	1.002	0.995	0.998	0		
21/05/2018 00:00	0.998	1	0.997	0.997	0		
22/05/2018 00:00	0.997	0.999	0.992	0.993	0		
23/05/2018 00:00	0.993	0.998	0.989	0.995	0		
24/05/2018 00:00	0.995	0.995	0.989	0.991	0		
25/05/2018 00:00	0.991	0.994	0.989	0.99	0		
28/05/2018 00:00	0.992	0.996	0.991	0.994	0		
29/05/2018 00:00	0.994	0.998	0.985	0.991	0		
30/05/2018 00:00	0.991	0.994	0.988	0.99	0		
31/05/2018 00:00	0.989	0.99	0.983	0.986	0		
01/06/2018 00:00	0.986	0.991	0.984	0.988	0		
04/06/2018 00:00	0.988	0.99	0.983	0.988	0		
05/06/2018 00:00	0.988	0.989	0.983	0.984	0		
06/06/2018 00:00	0.984	0.989	0.984	0.986	0		
07/06/2018 00:00	0.986	0.987	0.979	0.98	0		
08/06/2018 00:00	0.98	0.989	0.979	0.986	0		
11/06/2018 00:00	0.985	0.988	0.984	0.985	0		
12/06/2018 00:00	0.986	0.988	0.983	0.987	0		
13/06/2018 00:00	0.987	0.99	0.984	0.985	0		
14/06/2018 00:00	0.985	0.997	0.983	0.997	0		
15/06/2018 00:00	0.997	0.999	0.995	0.996	0		
18/06/2018 00:00	0.997	0.999	0.994	0.995	0		
