date	ouv	haut	bas	clot	vol	devise	
22/04/2013 00:00	6.178	6.178	6.178	6.183	0		
23/04/2013 00:00	6.177	6.179	6.177	6.179	0		
24/04/2013 00:00	6.177	6.179	6.177	6.179	0		
25/04/2013 00:00	6.17	6.171	6.17	6.171	0		
26/04/2013 00:00	6.164	6.167	6.164	6.165	0		
29/04/2013 00:00	6.165	6.165	6.165	6.165	0		
30/04/2013 00:00	6.165	6.165	6.165	6.165	0		
01/05/2013 00:00	6.165	6.165	6.165	6.165	0		
02/05/2013 00:00	6.154	6.156	6.154	6.156	0		
03/05/2013 00:00	6.157	6.157	6.155	6.156	0		
06/05/2013 00:00	6.16	6.171	6.16	6.167	0		
07/05/2013 00:00	6.158	6.158	6.154	6.154	0		
08/05/2013 00:00	6.143	6.143	6.141	6.141	0		
09/05/2013 00:00	6.133	6.138	6.131	6.131	0		
10/05/2013 00:00	6.141	6.142	6.141	6.142	0		
13/05/2013 00:00	6.147	6.147	6.146	6.147	0		
14/05/2013 00:00	6.143	6.143	6.143	6.143	0		
15/05/2013 00:00	6.146	6.146	6.146	6.146	0		
16/05/2013 00:00	6.148	6.15	6.148	6.149	0		
17/05/2013 00:00	6.14	6.142	6.14	6.141	0		
20/05/2013 00:00	6.149	6.149	6.139	6.139	0		
21/05/2013 00:00	6.133	6.137	6.131	6.136	0		
22/05/2013 00:00	6.133	6.133	6.131	6.131	0		
23/05/2013 00:00	6.134	6.136	6.134	6.134	0		
24/05/2013 00:00	6.129	6.133	6.129	6.132	0		
27/05/2013 00:00	6.149	6.149	6.121	6.121	0		
28/05/2013 00:00	6.122	6.123	6.122	6.122	0		
29/05/2013 00:00	6.128	6.132	6.127	6.127	0		
30/05/2013 00:00	6.129	6.131	6.129	6.131	0		
31/05/2013 00:00	6.136	6.137	6.135	6.135	0		
03/06/2013 00:00	6.132	6.133	6.132	6.132	0		
04/06/2013 00:00	6.129	6.129	6.128	6.129	0		
05/06/2013 00:00	6.127	6.129	6.127	6.128	0		
06/06/2013 00:00	6.132	6.138	6.132	6.136	0		
07/06/2013 00:00	6.137	6.138	6.133	6.134	0		
10/06/2013 00:00	6.134	6.134	6.134	6.134	0		
11/06/2013 00:00	6.134	6.134	6.134	6.134	0		
12/06/2013 00:00	6.134	6.134	6.134	6.134	0		
13/06/2013 00:00	6.14	6.143	6.134	6.134	0		
14/06/2013 00:00	6.135	6.135	6.13	6.131	0		
17/06/2013 00:00	6.126	6.128	6.124	6.125	0		
18/06/2013 00:00	6.129	6.131	6.128	6.129	0		
19/06/2013 00:00	6.13	6.13	6.126	6.127	0		
20/06/2013 00:00	6.129	6.129	6.126	6.128	0		
21/06/2013 00:00	6.133	6.134	6.132	6.133	0		
24/06/2013 00:00	6.139	6.145	6.139	6.145	0		
25/06/2013 00:00	6.148	6.15	6.145	6.145	0		
26/06/2013 00:00	6.147	6.149	6.146	6.147	0		
27/06/2013 00:00	6.149	6.15	6.149	6.149	0		
28/06/2013 00:00	6.145	6.145	6.138	6.138	0		
01/07/2013 00:00	6.131	6.133	6.13	6.133	0		
02/07/2013 00:00	6.135	6.135	6.131	6.133	0		
03/07/2013 00:00	6.133	6.133	6.131	6.131	0		
04/07/2013 00:00	6.127	6.127	6.125	6.126	0		
05/07/2013 00:00	6.13	6.133	6.13	6.133	0		
08/07/2013 00:00	6.126	6.139	6.126	6.134	0		
09/07/2013 00:00	6.131	6.131	6.128	6.13	0		
10/07/2013 00:00	6.135	6.137	6.134	6.134	0		
11/07/2013 00:00	6.133	6.136	6.133	6.135	0		
12/07/2013 00:00	6.142	6.142	6.138	6.138	0		
15/07/2013 00:00	6.136	6.138	6.136	6.138	0		
16/07/2013 00:00	6.136	6.137	6.135	6.135	0		
17/07/2013 00:00	6.132	6.135	6.132	6.135	0		
18/07/2013 00:00	6.139	6.143	6.139	6.141	0		
19/07/2013 00:00	6.139	6.139	6.138	6.138	0		
22/07/2013 00:00	6.137	6.142	6.137	6.141	0		
23/07/2013 00:00	6.14	6.14	6.137	6.137	0		
24/07/2013 00:00	6.137	6.14	6.136	6.136	0		
25/07/2013 00:00	6.138	6.138	6.135	6.135	0		
26/07/2013 00:00	6.133	6.133	6.13	6.132	0		
29/07/2013 00:00	6.133	6.133	6.133	6.133	0		
30/07/2013 00:00	6.134	6.134	6.132	6.132	0		
31/07/2013 00:00	6.131	6.131	6.128	6.129	0		
01/08/2013 00:00	6.126	6.131	6.126	6.131	0		
02/08/2013 00:00	6.131	6.131	6.13	6.13	0		
05/08/2013 00:00	6.127	6.127	6.125	6.125	0		
06/08/2013 00:00	6.124	6.124	6.122	6.122	0		
07/08/2013 00:00	6.122	6.122	6.119	6.119	0		
08/08/2013 00:00	6.116	6.123	6.115	6.121	0		
09/08/2013 00:00	6.116	6.122	6.116	6.122	0		
12/08/2013 00:00	6.133	6.133	6.119	6.122	0		
13/08/2013 00:00	6.124	6.124	6.122	6.122	0		
14/08/2013 00:00	6.119	6.121	6.118	6.12	0		
15/08/2013 00:00	6.116	6.117	6.113	6.113	0		
16/08/2013 00:00	6.11	6.115	6.11	6.115	0		
19/08/2013 00:00	6.122	6.126	6.121	6.123	0		
20/08/2013 00:00	6.121	6.126	6.121	6.125	0		
21/08/2013 00:00	6.122	6.125	6.122	6.123	0		
22/08/2013 00:00	6.124	6.124	6.12	6.121	0		
23/08/2013 00:00	6.122	6.123	6.121	6.121	0		
26/08/2013 00:00	6.121	6.122	6.12	6.121	0		
27/08/2013 00:00	6.122	6.123	6.121	6.122	0		
28/08/2013 00:00	6.121	6.122	6.12	6.12	0		
29/08/2013 00:00	6.121	6.121	6.121	6.121	0		
30/08/2013 00:00	6.12	6.121	6.12	6.12	0		
02/09/2013 00:00	6.117	6.12	6.116	6.12	0		
03/09/2013 00:00	6.12	6.121	6.12	6.121	0		
04/09/2013 00:00	6.119	6.12	6.119	6.12	0		
05/09/2013 00:00	6.12	6.123	6.119	6.12	0		
06/09/2013 00:00	6.12	6.121	6.12	6.121	0		
09/09/2013 00:00	6.12	6.121	6.12	6.121	0		
10/09/2013 00:00	6.12	6.121	6.119	6.12	0		
11/09/2013 00:00	6.12	6.12	6.119	6.119	0		
12/09/2013 00:00	6.118	6.119	6.118	6.118	0		
13/09/2013 00:00	6.118	6.119	6.117	6.119	0		
16/09/2013 00:00	6.118	6.12	6.118	6.12	0		
17/09/2013 00:00	6.121	6.122	6.12	6.122	0		
18/09/2013 00:00	6.122	6.122	6.121	6.121	0		
23/09/2013 00:00	6.119	6.121	6.118	6.121	0		
24/09/2013 00:00	6.119	6.121	6.119	6.121	0		
25/09/2013 00:00	6.119	6.121	6.12	6.12	0		
26/09/2013 00:00	6.119	6.121	6.119	6.121	0		
27/09/2013 00:00	6.121	6.121	6.12	6.12	0		
30/09/2013 00:00	6.119	6.122	6.119	6.122	0		
07/10/2013 00:00	6.122	6.122	6.122	6.122	0		
08/10/2013 00:00	6.119	6.121	6.119	6.121	0		
09/10/2013 00:00	6.119	6.121	6.119	6.121	0		
10/10/2013 00:00	6.119	6.12	6.116	6.116	0		
11/10/2013 00:00	6.118	6.121	6.118	6.121	0		
14/10/2013 00:00	6.115	6.115	6.108	6.108	0		
15/10/2013 00:00	6.104	6.104	6.102	6.103	0		
16/10/2013 00:00	6.099	6.106	6.097	6.1	0		
17/10/2013 00:00	6.097	6.098	6.095	6.098	0		
18/10/2013 00:00	6.093	6.097	6.093	6.097	0		
21/10/2013 00:00	6.096	6.096	6.093	6.093	0		
22/10/2013 00:00	6.094	6.094	6.093	6.093	0		
23/10/2013 00:00	6.087	6.088	6.084	6.084	0		
24/10/2013 00:00	6.082	6.083	6.081	6.082	0		
25/10/2013 00:00	6.083	6.084	6.082	6.084	0		
28/10/2013 00:00	6.087	6.087	6.085	6.086	0		
29/10/2013 00:00	6.088	6.09	6.088	6.09	0		
30/10/2013 00:00	6.092	6.095	6.092	6.094	0		
31/10/2013 00:00	6.093	6.095	6.093	6.095	0		
01/11/2013 00:00	6.095	6.1	6.095	6.1	0		
04/11/2013 00:00	6.098	6.1	6.097	6.099	0		
05/11/2013 00:00	6.097	6.099	6.097	6.097	0		
06/11/2013 00:00	6.095	6.095	6.093	6.093	0		
07/11/2013 00:00	6.096	6.096	6.091	6.091	0		
08/11/2013 00:00	6.093	6.093	6.091	6.091	0		
11/11/2013 00:00	6.091	6.091	6.091	6.091	0		
12/11/2013 00:00	6.092	6.093	6.092	6.092	0		
13/11/2013 00:00	6.091	6.093	6.089	6.093	0		
14/11/2013 00:00	6.092	6.092	6.091	6.092	0		
15/11/2013 00:00	6.093	6.093	6.092	6.092	0		
18/11/2013 00:00	6.092	6.092	6.092	6.092	0		
19/11/2013 00:00	6.092	6.093	6.092	6.093	0		
20/11/2013 00:00	6.092	6.093	6.092	6.093	0		
21/11/2013 00:00	6.093	6.093	6.093	6.093	0		
22/11/2013 00:00	6.093	6.094	6.092	6.094	0		
25/11/2013 00:00	6.093	6.093	6.093	6.093	0		
26/11/2013 00:00	6.092	6.093	6.092	6.093	0		
27/11/2013 00:00	6.093	6.093	6.092	6.092	0		
28/11/2013 00:00	6.093	6.093	6.092	6.092	0		
29/11/2013 00:00	6.092	6.094	6.092	6.093	0		
02/12/2013 00:00	6.093	6.093	6.093	6.093	0		
03/12/2013 00:00	6.092	6.092	6.092	6.092	0		
04/12/2013 00:00	6.091	6.092	6.091	6.092	0		
05/12/2013 00:00	6.091	6.092	6.091	6.091	0		
06/12/2013 00:00	6.086	6.089	6.082	6.082	0		
09/12/2013 00:00	6.073	6.073	6.072	6.072	0		
10/12/2013 00:00	6.072	6.072	6.071	6.071	0		
11/12/2013 00:00	6.071	6.072	6.071	6.072	0		
12/12/2013 00:00	6.075	6.075	6.071	6.072	0		
13/12/2013 00:00	6.072	6.073	6.071	6.071	0		
16/12/2013 00:00	6.073	6.073	6.072	6.072	0		
17/12/2013 00:00	6.072	6.072	6.071	6.071	0		
18/12/2013 00:00	6.072	6.072	6.071	6.072	0		
19/12/2013 00:00	6.073	6.073	6.071	6.071	0		
20/12/2013 00:00	6.071	6.072	6.071	6.071	0		
23/12/2013 00:00	6.071	6.075	6.07	6.07	0		
24/12/2013 00:00	6.072	6.072	6.071	6.072	0		
27/12/2013 00:00	6.072	6.069	6.071	6.069	0		
30/12/2013 00:00	6.063	6.063	6.062	6.062	0		
31/12/2013 00:00	6.052	6.054	6.052	6.054	0		
02/01/2014 00:00	6.051	6.055	6.05	6.051	0		
03/01/2014 00:00	6.052	6.052	6.051	6.052	0		
06/01/2014 00:00	6.054	6.054	6.053	6.053	0		
07/01/2014 00:00	6.052	6.052	6.051	6.051	0		
08/01/2014 00:00	6.051	6.055	6.051	6.051	0		
09/01/2014 00:00	6.055	6.057	6.055	6.055	0		
10/01/2014 00:00	6.052	6.052	6.052	6.052	0		
13/01/2014 00:00	6.045	6.045	6.043	6.043	0		
14/01/2014 00:00	6.042	6.045	6.041	6.041	0		
15/01/2014 00:00	6.046	6.047	6.046	6.046	0		
