date	ouv	haut	bas	clot	vol	devise	
22/04/2013 00:00	0.766	0.768	0.762	0.766	0	EUR	
23/04/2013 00:00	0.766	0.771	0.765	0.769	0	EUR	
24/04/2013 00:00	0.769	0.772	0.767	0.768	0	EUR	
25/04/2013 00:00	0.768	0.77	0.764	0.769	0	EUR	
26/04/2013 00:00	0.769	0.77	0.767	0.767	0	EUR	
29/04/2013 00:00	0.767	0.767	0.763	0.764	0	EUR	
30/04/2013 00:00	0.764	0.766	0.759	0.759	0	EUR	
01/05/2013 00:00	0.759	0.76	0.755	0.758	0	EUR	
02/05/2013 00:00	0.759	0.767	0.757	0.766	0	EUR	
03/05/2013 00:00	0.765	0.767	0.76	0.762	0	EUR	
06/05/2013 00:00	0.762	0.766	0.761	0.765	0	EUR	
07/05/2013 00:00	0.765	0.765	0.762	0.765	0	EUR	
08/05/2013 00:00	0.765	0.765	0.758	0.76	0	EUR	
09/05/2013 00:00	0.76	0.768	0.759	0.767	0	EUR	
10/05/2013 00:00	0.767	0.773	0.766	0.77	0	EUR	
13/05/2013 00:00	0.771	0.773	0.77	0.771	0	EUR	
14/05/2013 00:00	0.77	0.774	0.768	0.773	0	EUR	
15/05/2013 00:00	0.773	0.778	0.773	0.776	0	EUR	
16/05/2013 00:00	0.776	0.778	0.774	0.776	0	EUR	
17/05/2013 00:00	0.776	0.781	0.776	0.779	0	EUR	
20/05/2013 00:00	0.779	0.78	0.775	0.776	0	EUR	
21/05/2013 00:00	0.776	0.779	0.773	0.775	0	EUR	
22/05/2013 00:00	0.774	0.779	0.769	0.778	0	EUR	
23/05/2013 00:00	0.779	0.78	0.772	0.773	0	EUR	
24/05/2013 00:00	0.773	0.775	0.77	0.773	0	EUR	
27/05/2013 00:00	0.773	0.774	0.772	0.773	0	EUR	
28/05/2013 00:00	0.773	0.778	0.772	0.778	0	EUR	
29/05/2013 00:00	0.779	0.779	0.771	0.773	0	EUR	
30/05/2013 00:00	0.773	0.773	0.766	0.766	0	EUR	
31/05/2013 00:00	0.767	0.772	0.766	0.769	0	EUR	
03/06/2013 00:00	0.769	0.772	0.763	0.765	0	EUR	
04/06/2013 00:00	0.765	0.767	0.763	0.764	0	EUR	
05/06/2013 00:00	0.765	0.766	0.763	0.764	0	EUR	
06/06/2013 00:00	0.764	0.765	0.752	0.755	0	EUR	
07/06/2013 00:00	0.755	0.758	0.753	0.757	0	EUR	
10/06/2013 00:00	0.757	0.759	0.754	0.754	0	EUR	
11/06/2013 00:00	0.754	0.756	0.751	0.751	0	EUR	
12/06/2013 00:00	0.751	0.754	0.749	0.75	0	EUR	
13/06/2013 00:00	0.749	0.753	0.747	0.748	0	EUR	
14/06/2013 00:00	0.748	0.752	0.748	0.749	0	EUR	
17/06/2013 00:00	0.749	0.751	0.747	0.748	0	EUR	
18/06/2013 00:00	0.748	0.75	0.745	0.746	0	EUR	
19/06/2013 00:00	0.747	0.754	0.746	0.752	0	EUR	
20/06/2013 00:00	0.753	0.76	0.752	0.756	0	EUR	
21/06/2013 00:00	0.756	0.763	0.755	0.762	0	EUR	
24/06/2013 00:00	0.763	0.766	0.761	0.762	0	EUR	
25/06/2013 00:00	0.762	0.765	0.761	0.764	0	EUR	
26/06/2013 00:00	0.765	0.77	0.764	0.769	0	EUR	
27/06/2013 00:00	0.769	0.769	0.766	0.767	0	EUR	
28/06/2013 00:00	0.767	0.77	0.763	0.768	0	EUR	
01/07/2013 00:00	0.769	0.769	0.765	0.765	0	EUR	
02/07/2013 00:00	0.765	0.771	0.765	0.771	0	EUR	
03/07/2013 00:00	0.771	0.774	0.767	0.769	0	EUR	
04/07/2013 00:00	0.768	0.776	0.768	0.775	0	EUR	
