date	ouv	haut	bas	clot	vol	devise	
11/04/2018 00:00	0.705	0.706	0.703	0.705	0	GBP	
12/04/2018 00:00	0.705	0.707	0.702	0.703	0	GBP	
13/04/2018 00:00	0.702	0.703	0.7	0.702	0	GBP	
16/04/2018 00:00	0.702	0.702	0.697	0.697	0	GBP	
17/04/2018 00:00	0.697	0.7	0.696	0.7	0	GBP	
18/04/2018 00:00	0.697	0.706	0.699	0.704	0	GBP	
19/04/2018 00:00	0.704	0.711	0.702	0.71	0	GBP	
20/04/2018 00:00	0.71	0.714	0.71	0.714	0	GBP	
23/04/2018 00:00	0.714	0.718	0.713	0.717	0	GBP	
24/04/2018 00:00	0.717	0.718	0.715	0.715	0	GBP	
25/04/2018 00:00	0.715	0.718	0.714	0.718	0	GBP	
26/04/2018 00:00	0.718	0.72	0.714	0.719	0	GBP	
27/04/2018 00:00	0.719	0.727	0.718	0.726	0	GBP	
30/04/2018 00:00	0.726	0.729	0.725	0.726	0	GBP	
01/05/2018 00:00	0.726	0.736	0.726	0.734	0	GBP	
02/05/2018 00:00	0.735	0.738	0.732	0.737	0	GBP	
03/05/2018 00:00	0.737	0.739	0.734	0.737	0	GBP	
04/05/2018 00:00	0.737	0.741	0.736	0.739	0	GBP	
07/05/2018 00:00	0.739	0.74	0.737	0.738	0	GBP	
08/05/2018 00:00	0.737	0.742	0.736	0.738	0	GBP	
09/05/2018 00:00	0.738	0.741	0.735	0.738	0	GBP	
10/05/2018 00:00	0.738	0.743	0.734	0.74	0	GBP	
11/05/2018 00:00	0.74	0.741	0.736	0.738	0	GBP	
14/05/2018 00:00	0.738	0.738	0.735	0.738	0	GBP	
15/05/2018 00:00	0.738	0.743	0.737	0.74	0	GBP	
16/05/2018 00:00	0.74	0.743	0.74	0.74	0	GBP	
17/05/2018 00:00	0.74	0.742	0.737	0.74	0	GBP	
18/05/2018 00:00	0.74	0.743	0.739	0.742	0	GBP	
21/05/2018 00:00	0.742	0.747	0.742	0.745	0	GBP	
22/05/2018 00:00	0.744	0.746	0.741	0.744	0	GBP	
23/05/2018 00:00	0.744	0.752	0.744	0.749	0	GBP	
24/05/2018 00:00	0.749	0.749	0.745	0.747	0	GBP	
25/05/2018 00:00	0.747	0.752	0.747	0.751	0	GBP	
28/05/2018 00:00	0.751	0.752	0.75	0.751	0	GBP	
29/05/2018 00:00	0.751	0.757	0.75	0.754	0	GBP	
30/05/2018 00:00	0.754	0.755	0.751	0.753	0	GBP	
31/05/2018 00:00	0.753	0.753	0.749	0.753	0	GBP	
01/06/2018 00:00	0.752	0.754	0.748	0.749	0	GBP	
04/06/2018 00:00	0.749	0.752	0.746	0.751	0	GBP	
05/06/2018 00:00	0.751	0.752	0.746	0.746	0	GBP	
06/06/2018 00:00	0.746	0.746	0.744	0.746	0	GBP	
07/06/2018 00:00	0.745	0.748	0.742	0.745	0	GBP	
08/06/2018 00:00	0.745	0.749	0.744	0.747	0	GBP	
11/06/2018 00:00	0.747	0.749	0.744	0.747	0	GBP	
12/06/2018 00:00	0.748	0.749	0.745	0.748	0	GBP	
13/06/2018 00:00	0.748	0.751	0.747	0.748	0	GBP	
14/06/2018 00:00	0.748	0.754	0.744	0.754	0	GBP	
15/06/2018 00:00	0.754	0.757	0.752	0.753	0	GBP	
18/06/2018 00:00	0.753	0.756	0.753	0.755	0	GBP	
19/06/2018 00:00	0.755	0.76	0.753	0.759	0	GBP	
20/06/2018 00:00	0.759	0.761	0.757	0.759	0	GBP	
21/06/2018 00:00	0.759	0.763	0.754	0.755	0	GBP	
22/06/2018 00:00	0.755	0.755	0.751	0.754	0	GBP	
25/06/2018 00:00	0.754	0.756	0.752	0.753	0	GBP	
26/06/2018 00:00	0.753	0.758	0.752	0.756	0	GBP	
27/06/2018 00:00	0.756	0.763	0.756	0.762	0	GBP	
28/06/2018 00:00	0.762	0.766	0.762	0.765	0	GBP	
29/06/2018 00:00	0.765	0.765	0.757	0.757	0	GBP	
02/07/2018 00:00	0.757	0.764	0.757	0.761	0	GBP	
03/07/2018 00:00	0.761	0.762	0.757	0.758	0	GBP	
04/07/2018 00:00	0.758	0.759	0.755	0.756	0	GBP	
05/07/2018 00:00	0.756	0.757	0.753	0.756	0	GBP	
06/07/2018 00:00	0.756	0.757	0.752	0.753	0	GBP	
09/07/2018 00:00	0.753	0.758	0.748	0.755	0	GBP	
10/07/2018 00:00	0.755	0.756	0.752	0.753	0	GBP	
11/07/2018 00:00	0.755	0.758	0.753	0.757	0	GBP	
12/07/2018 00:00	0.757	0.759	0.755	0.757	0	GBP	
13/07/2018 00:00	0.757	0.763	0.755	0.756	0	GBP	
16/07/2018 00:00	0.756	0.757	0.752	0.755	0	GBP	
17/07/2018 00:00	0.755	0.765	0.754	0.763	0	GBP	
18/07/2018 00:00	0.763	0.769	0.762	0.765	0	GBP	
19/07/2018 00:00	0.763	0.772	0.764	0.768	0	GBP	
20/07/2018 00:00	0.768	0.77	0.761	0.761	0	GBP	
23/07/2018 00:00	0.761	0.764	0.76	0.763	0	GBP	
24/07/2018 00:00	0.763	0.765	0.76	0.761	0	GBP	
25/07/2018 00:00	0.761	0.761	0.758	0.758	0	GBP	
26/07/2018 00:00	0.758	0.763	0.757	0.763	0	GBP	
27/07/2018 00:00	0.763	0.764	0.762	0.763	0	GBP	
30/07/2018 00:00	0.763	0.764	0.76	0.762	0	GBP	
31/07/2018 00:00	0.761	0.764	0.759	0.762	0	GBP	
01/08/2018 00:00	0.762	0.764	0.761	0.762	0	GBP	
02/08/2018 00:00	0.762	0.768	0.762	0.768	0	GBP	
03/08/2018 00:00	0.768	0.771	0.767	0.769	0	GBP	
06/08/2018 00:00	0.769	0.774	0.769	0.773	0	GBP	
07/08/2018 00:00	0.773	0.774	0.771	0.773	0	GBP	
08/08/2018 00:00	0.773	0.778	0.772	0.776	0	GBP	
09/08/2018 00:00	0.776	0.78	0.775	0.779	0	GBP	
10/08/2018 00:00	0.78	0.786	0.779	0.783	0	GBP	
13/08/2018 00:00	0.783	0.785	0.782	0.784	0	GBP	
14/08/2018 00:00	0.784	0.787	0.78	0.786	0	GBP	
15/08/2018 00:00	0.786	0.79	0.785	0.788	0	GBP	
16/08/2018 00:00	0.788	0.788	0.784	0.787	0	GBP	
17/08/2018 00:00	0.786	0.788	0.784	0.784	0	GBP	
20/08/2018 00:00	0.784	0.786	0.781	0.781	0	GBP	
21/08/2018 00:00	0.781	0.782	0.774	0.775	0	GBP	
22/08/2018 00:00	0.775	0.777	0.773	0.774	0	GBP	
23/08/2018 00:00	0.774	0.781	0.774	0.78	0	GBP	
24/08/2018 00:00	0.78	0.781	0.776	0.779	0	GBP	
27/08/2018 00:00	0.779	0.779	0.775	0.776	0	GBP	
28/08/2018 00:00	0.775	0.777	0.773	0.777	0	GBP	
29/08/2018 00:00	0.777	0.778	0.767	0.768	0	GBP	
30/08/2018 00:00	0.767	0.77	0.767	0.768	0	GBP	
31/08/2018 00:00	0.769	0.772	0.768	0.772	0	GBP	
03/09/2018 00:00	0.772	0.778	0.772	0.777	0	GBP	
04/09/2018 00:00	0.777	0.781	0.777	0.778	0	GBP	
05/09/2018 00:00	0.778	0.782	0.77	0.774	0	GBP	
06/09/2018 00:00	0.774	0.775	0.772	0.773	0	GBP	
07/09/2018 00:00	0.774	0.775	0.768	0.774	0	GBP	
10/09/2018 00:00	0.774	0.775	0.767	0.768	0	GBP	
11/09/2018 00:00	0.768	0.771	0.764	0.768	0	GBP	
12/09/2018 00:00	0.768	0.77	0.765	0.766	0	GBP	
13/09/2018 00:00	0.766	0.768	0.762	0.763	0	GBP	
14/09/2018 00:00	0.763	0.766	0.761	0.765	0	GBP	
17/09/2018 00:00	0.765	0.765	0.76	0.76	0	GBP	
18/09/2018 00:00	0.76	0.762	0.759	0.761	0	GBP	
19/09/2018 00:00	0.761	0.763	0.757	0.761	0	GBP	
20/09/2018 00:00	0.761	0.761	0.752	0.753	0	GBP	
21/09/2018 00:00	0.753	0.766	0.753	0.765	0	GBP	
24/09/2018 00:00	0.765	0.766	0.76	0.762	0	GBP	
25/09/2018 00:00	0.762	0.764	0.758	0.759	0	GBP	
26/09/2018 00:00	0.759	0.761	0.757	0.76	0	GBP	
27/09/2018 00:00	0.759	0.765	0.759	0.765	0	GBP	
28/09/2018 00:00	0.765	0.769	0.764	0.767	0	GBP	
01/10/2018 00:00	0.767	0.768	0.763	0.767	0	GBP	
02/10/2018 00:00	0.767	0.773	0.766	0.771	0	GBP	
03/10/2018 00:00	0.77	0.774	0.768	0.772	0	GBP	
04/10/2018 00:00	0.772	0.774	0.767	0.768	0	GBP	
05/10/2018 00:00	0.768	0.769	0.762	0.762	0	GBP	
08/10/2018 00:00	0.762	0.767	0.761	0.764	0	GBP	
09/10/2018 00:00	0.764	0.767	0.76	0.761	0	GBP	
10/10/2018 00:00	0.761	0.761	0.757	0.758	0	GBP	
11/10/2018 00:00	0.758	0.759	0.755	0.756	0	GBP	
12/10/2018 00:00	0.756	0.761	0.754	0.76	0	GBP	
15/10/2018 00:00	0.76	0.763	0.759	0.76	0	GBP	
16/10/2018 00:00	0.76	0.761	0.756	0.758	0	GBP	
17/10/2018 00:00	0.76	0.764	0.758	0.763	0	GBP	
18/10/2018 00:00	0.763	0.766	0.762	0.768	0	GBP	
19/10/2018 00:00	0.768	0.769	0.763	0.765	0	GBP	
