date	ouv	haut	bas	clot	vol	devise	
11/04/2018 00:00	107.201	107.229	106.65	106.81	0		
12/04/2018 00:00	106.802	107.429	106.703	107.304	0		
13/04/2018 00:00	107.304	107.78	107.205	107.345	0		
16/04/2018 00:00	107.511	107.611	107.035	107.139	0		
17/04/2018 00:00	107.135	107.208	106.875	107.033	0		
18/04/2018 00:00	107.015	107.392	107.003	107.213	0		
19/04/2018 00:00	107.22	107.518	107.175	107.364	0		
20/04/2018 00:00	107.386	107.857	107.373	107.685	0		
23/04/2018 00:00	107.697	108.755	107.662	108.697	0		
24/04/2018 00:00	108.715	109.201	108.544	108.812	0		
25/04/2018 00:00	108.811	109.456	108.789	109.384	0		
26/04/2018 00:00	109.386	109.47	109.066	109.292	0		
27/04/2018 00:00	109.298	109.538	108.944	109.015	0		
30/04/2018 00:00	109.109	109.455	109.015	109.267	0		
01/05/2018 00:00	109.268	109.89	109.241	109.855	0		
02/05/2018 00:00	109.852	110.037	109.59	109.816	0		
03/05/2018 00:00	109.815	109.89	108.93	109.185	0		
04/05/2018 00:00	109.181	109.29	108.62	108.695	0		
07/05/2018 00:00	109.09	109.395	108.75	109.083	0		
08/05/2018 00:00	109.089	109.352	108.829	109.062	0		
09/05/2018 00:00	109.066	109.839	108.99	109.723	0		
10/05/2018 00:00	109.721	110.016	109.31	109.41	0		
11/05/2018 00:00	109.408	109.57	109.15	109.405	0		
14/05/2018 00:00	109.325	109.74	109.18	109.695	0		
15/05/2018 00:00	109.687	110.456	109.65	110.336	0		
16/05/2018 00:00	110.332	110.41	110.03	110.294	0		
17/05/2018 00:00	110.278	110.86	110.07	110.751	0		
18/05/2018 00:00	110.777	111.085	110.605	110.765	0		
21/05/2018 00:00	110.87	111.386	110.823	111.028	0		
22/05/2018 00:00	111.025	111.19	110.795	110.902	0		
23/05/2018 00:00	110.902	110.92	109.55	109.94	0		
24/05/2018 00:00	109.952	110.045	108.95	109.231	0		
25/05/2018 00:00	109.225	109.75	109.115	109.445	0		
28/05/2018 00:00	109.805	109.82	109.23	109.372	0		
29/05/2018 00:00	109.378	109.47	108.114	108.619	0		
30/05/2018 00:00	108.61	109.075	108.35	108.898	0		
31/05/2018 00:00	108.891	109.003	108.39	108.792	0		
01/06/2018 00:00	108.792	109.738	108.724	109.54	0		
04/06/2018 00:00	109.47	109.89	109.37	109.808	0		
05/06/2018 00:00	109.807	110.04	109.47	109.805	0		
06/06/2018 00:00	109.819	110.29	109.785	110.149	0		
07/06/2018 00:00	110.145	110.223	109.475	109.722	0		
08/06/2018 00:00	109.723	109.87	109.19	109.635	0		
11/06/2018 00:00	109.345	110.118	109.32	110.06	0		
12/06/2018 00:00	110.049	110.52	110.03	110.375	0		
13/06/2018 00:00	110.387	110.85	110.27	110.325	0		
14/06/2018 00:00	110.286	110.694	109.91	110.67	0		
15/06/2018 00:00	110.674	110.906	110.389	110.675	0		
18/06/2018 00:00	110.67	110.67	110.25	110.542	0		
19/06/2018 00:00	110.542	110.575	109.55	110.066	0		
20/06/2018 00:00	110.059	110.451	109.85	110.35	0		
21/06/2018 00:00	110.357	110.758	109.835	109.9	0		
22/06/2018 00:00	109.874	110.219	109.801	109.87	0		
25/06/2018 00:00	109.905	110.044	109.369	109.735	0		
26/06/2018 00:00	109.737	110.23	109.36	110.035	0		
27/06/2018 00:00	110.019	110.49	109.687	110.229	0		
28/06/2018 00:00	110.225	110.68	109.968	110.463	0		
29/06/2018 00:00	110.454	110.985	110.37	110.5	0		
02/07/2018 00:00	110.755	111.08	110.606	110.876	0		
03/07/2018 00:00	110.872	111.131	110.504	110.588	0		
04/07/2018 00:00	110.605	110.606	110.275	110.498	0		
05/07/2018 00:00	110.51	110.729	110.29	110.677	0		
06/07/2018 00:00	110.678	110.79	110.37	110.475	0		
09/07/2018 00:00	110.46	110.905	110.35	110.85	0		
10/07/2018 00:00	110.842	111.354	110.83	110.952	0		
11/07/2018 00:00	110.978	112.175	110.764	111.93	0		
12/07/2018 00:00	111.939	112.63	111.915	112.53	0		
13/07/2018 00:00	112.529	112.82	112.263	112.385	0		
16/07/2018 00:00	112.345	112.57	112.224	112.257	0		
17/07/2018 00:00	112.276	112.93	112.227	112.89	0		
18/07/2018 00:00	112.9	113.137	112.693	112.827	0		
19/07/2018 00:00	112.839	113.21	112.05	112.421	0		
20/07/2018 00:00	112.42	112.65	111.365	111.48	0		
23/07/2018 00:00	111.365	111.55	110.75	111.314	0		
24/07/2018 00:00	111.304	111.515	110.955	111.192	0		
25/07/2018 00:00	111.18	111.39	110.666	111.021	0		
26/07/2018 00:00	110.954	111.255	110.588	111.242	0		
27/07/2018 00:00	111.243	111.255	110.777	111.045	0		
30/07/2018 00:00	110.97	111.166	110.87	111.047	0		
31/07/2018 00:00	111.041	111.959	110.761	111.836	0		
01/08/2018 00:00	111.841	112.152	111.389	111.721	0		
02/08/2018 00:00	111.704	111.734	111.315	111.645	0		
03/08/2018 00:00	111.635	111.861	111.095	111.265	0		
06/08/2018 00:00	111.225	111.56	111.169	111.385	0		
07/08/2018 00:00	111.399	111.479	110.981	111.387	0		
08/08/2018 00:00	111.378	111.438	110.83	110.941	0		
09/08/2018 00:00	110.923	111.19	110.71	111.095	0		
10/08/2018 00:00	111.103	111.17	110.44	110.875	0		
13/08/2018 00:00	110.56	110.935	110.1	110.745	0		
14/08/2018 00:00	110.759	111.313	110.586	111.212	0		
15/08/2018 00:00	111.225	111.433	110.43	110.709	0		
16/08/2018 00:00	110.711	111.122	110.45	110.938	0		
17/08/2018 00:00	110.933	111.054	110.305	110.505	0		
20/08/2018 00:00	110.525	110.69	109.97	110.062	0		
21/08/2018 00:00	110.045	110.55	109.77	110.203	0		
22/08/2018 00:00	110.185	110.617	109.98	110.553	0		
23/08/2018 00:00	110.551	111.345	110.51	111.285	0		
24/08/2018 00:00	111.291	111.49	111.105	111.235	0		
27/08/2018 00:00	111.305	111.35	110.93	111.032	0		
28/08/2018 00:00	111.05	111.36	110.95	111.169	0		
29/08/2018 00:00	111.171	111.83	111.115	111.697	0		
30/08/2018 00:00	111.725	111.76	110.95	111.037	0		
31/08/2018 00:00	111.023	111.136	110.685	110.875	0		
03/09/2018 00:00	111.1	111.19	110.845	111.073	0		
04/09/2018 00:00	111.079	111.535	110.895	111.46	0		
05/09/2018 00:00	111.456	111.77	111.362	111.485	0		
06/09/2018 00:00	111.512	111.515	110.515	110.675	0		
07/09/2018 00:00	110.682	111.251	110.375	111.005	0		
10/09/2018 00:00	111.045	111.25	110.85	111.106	0		
11/09/2018 00:00	111.106	111.645	111.07	111.609	0		
