date	ouv	haut	bas	clot	vol	devise	
22/04/2013 00:00	1.236	1.241	1.234	1.24	0		
23/04/2013 00:00	1.241	1.243	1.24	1.241	0		
24/04/2013 00:00	1.241	1.244	1.24	1.243	0		
25/04/2013 00:00	1.243	1.243	1.237	1.239	0		
26/04/2013 00:00	1.239	1.239	1.235	1.235	0		
29/04/2013 00:00	1.237	1.237	1.233	1.234	0		
30/04/2013 00:00	1.234	1.235	1.231	1.232	0		
01/05/2013 00:00	1.232	1.234	1.231	1.233	0		
02/05/2013 00:00	1.233	1.236	1.232	1.235	0		
03/05/2013 00:00	1.235	1.236	1.233	1.233	0		
06/05/2013 00:00	1.234	1.235	1.229	1.231	0		
07/05/2013 00:00	1.232	1.233	1.23	1.232	0		
08/05/2013 00:00	1.232	1.233	1.227	1.228	0		
09/05/2013 00:00	1.228	1.234	1.227	1.234	0		
10/05/2013 00:00	1.233	1.241	1.233	1.24	0		
13/05/2013 00:00	1.239	1.242	1.239	1.241	0		
14/05/2013 00:00	1.241	1.244	1.238	1.243	0		
15/05/2013 00:00	1.243	1.248	1.242	1.247	0		
16/05/2013 00:00	1.247	1.254	1.244	1.251	0		
17/05/2013 00:00	1.251	1.259	1.251	1.258	0		
20/05/2013 00:00	1.257	1.258	1.253	1.254	0		
21/05/2013 00:00	1.254	1.262	1.254	1.26	0		
22/05/2013 00:00	1.26	1.268	1.258	1.267	0		
23/05/2013 00:00	1.267	1.27	1.263	1.264	0		
24/05/2013 00:00	1.264	1.267	1.263	1.265	0		
27/05/2013 00:00	1.264	1.267	1.259	1.261	0		
28/05/2013 00:00	1.261	1.271	1.261	1.271	0		
29/05/2013 00:00	1.271	1.273	1.265	1.266	0		
30/05/2013 00:00	1.266	1.269	1.257	1.258	0		
31/05/2013 00:00	1.258	1.267	1.258	1.264	0		
03/06/2013 00:00	1.262	1.263	1.249	1.252	0		
04/06/2013 00:00	1.253	1.255	1.251	1.253	0		
05/06/2013 00:00	1.253	1.256	1.246	1.25	0		
06/06/2013 00:00	1.25	1.252	1.244	1.245	0		
07/06/2013 00:00	1.245	1.249	1.241	1.247	0		
10/06/2013 00:00	1.252	1.262	1.249	1.258	0		
11/06/2013 00:00	1.258	1.263	1.252	1.255	0		
12/06/2013 00:00	1.255	1.258	1.251	1.256	0		
13/06/2013 00:00	1.256	1.26	1.248	1.25	0		
14/06/2013 00:00	1.25	1.253	1.248	1.252	0		
17/06/2013 00:00	1.251	1.256	1.25	1.255	0		
18/06/2013 00:00	1.255	1.263	1.254	1.262	0		
19/06/2013 00:00	1.262	1.269	1.255	1.268	0		
20/06/2013 00:00	1.268	1.277	1.267	1.275	0		
21/06/2013 00:00	1.274	1.278	1.271	1.276	0		
24/06/2013 00:00	1.275	1.282	1.273	1.276	0		
25/06/2013 00:00	1.276	1.277	1.266	1.269	0		
26/06/2013 00:00	1.27	1.277	1.268	1.274	0		
27/06/2013 00:00	1.274	1.274	1.263	1.267	0		
28/06/2013 00:00	1.267	1.269	1.262	1.267	0		
01/07/2013 00:00	1.269	1.271	1.263	1.264	0		
02/07/2013 00:00	1.264	1.272	1.263	1.272	0		
03/07/2013 00:00	1.272	1.275	1.269	1.274	0		
04/07/2013 00:00	1.273	1.274	1.27	1.273	0		
05/07/2013 00:00	1.273	1.282	1.273	1.28	0		
08/07/2013 00:00	1.281	1.286	1.278	1.279	0		
09/07/2013 00:00	1.279	1.281	1.276	1.278	0		
10/07/2013 00:00	1.278	1.279	1.27	1.27	0		
11/07/2013 00:00	1.269	1.269	1.258	1.258	0		
12/07/2013 00:00	1.259	1.267	1.258	1.261	0		
15/07/2013 00:00	1.262	1.268	1.262	1.263	0		
16/07/2013 00:00	1.262	1.264	1.258	1.259	0		
17/07/2013 00:00	1.259	1.265	1.257	1.261	0		
18/07/2013 00:00	1.261	1.269	1.26	1.267	0		
19/07/2013 00:00	1.267	1.271	1.263	1.266	0		
22/07/2013 00:00	1.265	1.265	1.26	1.261	0		
23/07/2013 00:00	1.261	1.268	1.259	1.264	0		
24/07/2013 00:00	1.264	1.27	1.262	1.268	0		
25/07/2013 00:00	1.268	1.27	1.264	1.265	0		
26/07/2013 00:00	1.264	1.268	1.262	1.262	0		
29/07/2013 00:00	1.263	1.269	1.262	1.266	0		
30/07/2013 00:00	1.267	1.272	1.267	1.271	0		
31/07/2013 00:00	1.271	1.276	1.27	1.271	0		
01/08/2013 00:00	1.271	1.277	1.27	1.277	0		
02/08/2013 00:00	1.276	1.277	1.271	1.272	0		
05/08/2013 00:00	1.272	1.274	1.266	1.268	0		
06/08/2013 00:00	1.268	1.269	1.266	1.267	0		
07/08/2013 00:00	1.267	1.269	1.266	1.267	0		
08/08/2013 00:00	1.267	1.268	1.259	1.26	0		
09/08/2013 00:00	1.261	1.262	1.257	1.257	0		
12/08/2013 00:00	1.259	1.264	1.256	1.263	0		
13/08/2013 00:00	1.263	1.268	1.262	1.268	0		
14/08/2013 00:00	1.268	1.272	1.267	1.27	0		
15/08/2013 00:00	1.27	1.276	1.267	1.269	0		
16/08/2013 00:00	1.269	1.273	1.268	1.27	0		
19/08/2013 00:00	1.27	1.278	1.27	1.277	0		
20/08/2013 00:00	1.277	1.28	1.273	1.274	0		
21/08/2013 00:00	1.274	1.284	1.274	1.284	0		
22/08/2013 00:00	1.284	1.286	1.28	1.282	0		
23/08/2013 00:00	1.282	1.283	1.278	1.279	0		
26/08/2013 00:00	1.279	1.282	1.277	1.281	0		
27/08/2013 00:00	1.281	1.285	1.281	1.283	0		
28/08/2013 00:00	1.283	1.285	1.275	1.275	0		
