date,USDSGD,USDCNY,USDEUR,USDGBP,USDCHF,USDJPY,USDGOLD
11/04/2018 00:00,1.31,6.269,0.808,0.705,0.958,106.81,1356.5
12/04/2018 00:00,1.312,6.292,0.811,0.703,0.963,107.304,1338.4
13/04/2018 00:00,1.312,6.275,0.81,0.702,0.962,107.345,1344.8
16/04/2018 00:00,1.31,6.295,0.808,0.697,0.96,107.139,1347.0
17/04/2018 00:00,1.311,6.283,0.808,0.7,0.966,107.033,1347.2
18/04/2018 00:00,1.31,6.274,0.808,0.704,0.969,107.213,1351.2
19/04/2018 00:00,1.311,6.279,0.81,0.71,0.971,107.364,1346.8
20/04/2018 00:00,1.316,6.297,0.812,0.714,0.974,107.685,1336.5
23/04/2018 00:00,1.325,6.317,0.819,0.717,0.978,108.697,1322.5
24/04/2018 00:00,1.322,6.306,0.817,0.715,0.979,108.812,1331.6
25/04/2018 00:00,1.329,6.326,0.822,0.718,0.984,109.384,1321.2
26/04/2018 00:00,1.328,6.36,0.826,0.719,0.989,109.292,1316.3
27/04/2018 00:00,1.324,6.333,0.823,0.726,0.988,109.015,1320.3
30/04/2018 00:00,1.326,6.334,0.828,0.726,0.991,109.267,1316.2
01/05/2018 00:00,1.333,6.355,0.834,0.734,0.997,109.855,1303.8
02/05/2018 00:00,1.335,6.362,0.836,0.737,0.998,109.816,1302.6
03/05/2018 00:00,1.331,6.354,0.834,0.737,0.998,109.185,1310.8
04/05/2018 00:00,1.334,6.361,0.835,0.739,1.0,108.695,1312.2
07/05/2018 00:00,1.336,6.367,0.839,0.738,1.003,109.083,1312.2
08/05/2018 00:00,1.34,6.371,0.843,0.738,1.002,109.062,1312.0
09/05/2018 00:00,1.346,6.362,0.844,0.738,1.005,109.723,1311.6
10/05/2018 00:00,1.338,6.349,0.839,0.74,1.003,109.41,1320.8
11/05/2018 00:00,1.336,6.334,0.836,0.738,1.0,109.405,1319.3
14/05/2018 00:00,1.336,6.339,0.839,0.738,1.001,109.695,1316.5
15/05/2018 00:00,1.345,6.37,0.845,0.74,1.001,110.336,1288.9
16/05/2018 00:00,1.34,6.372,0.847,0.74,1.001,110.294,1290.2
17/05/2018 00:00,1.342,6.367,0.848,0.74,1.001,110.751,1288.2
18/05/2018 00:00,1.343,6.378,0.848,0.742,0.998,110.765,1290.2
21/05/2018 00:00,1.34,6.382,0.848,0.745,0.997,111.028,1290.2
22/05/2018 00:00,1.339,6.367,0.849,0.744,0.993,110.902,1291.7
23/05/2018 00:00,1.343,6.39,0.854,0.749,0.995,109.94,1288.5
24/05/2018 00:00,1.339,6.378,0.853,0.747,0.991,109.231,1303.4
25/05/2018 00:00,1.342,6.388,0.858,0.751,0.99,109.445,1302.6
28/05/2018 00:00,1.343,6.399,0.86,0.751,0.994,109.372,1296.8
29/05/2018 00:00,1.346,6.42,0.866,0.754,0.991,108.619,1298.7
30/05/2018 00:00,1.339,6.418,0.857,0.753,0.99,108.898,1301.4
31/05/2018 00:00,1.338,6.41,0.855,0.753,0.986,108.792,1300.0
01/06/2018 00:00,1.338,6.42,0.857,0.749,0.988,109.54,1294.8
04/06/2018 00:00,1.337,6.411,0.855,0.751,0.988,109.808,1293.1
05/06/2018 00:00,1.335,6.404,0.853,0.746,0.984,109.805,1298.5
06/06/2018 00:00,1.333,6.388,0.849,0.746,0.986,110.149,1297.1
07/06/2018 00:00,1.334,6.392,0.848,0.745,0.98,109.722,1298.8
08/06/2018 00:00,1.335,6.401,0.849,0.747,0.986,109.635,1298.1
