date,USDSGD,USDCNY,USDEUR,USDGBP,USDCHF,USDJPY,USDGOLD
22/04/2013 00:00,1.24,6.183,0.766,0.654,0.934,99.355,1421.3
23/04/2013 00:00,1.241,6.179,0.769,0.656,0.945,99.395,1413.4
24/04/2013 00:00,1.243,6.179,0.768,0.655,0.947,99.485,1421.1
25/04/2013 00:00,1.239,6.171,0.769,0.648,0.945,99.305,1458.3
26/04/2013 00:00,1.235,6.165,0.767,0.647,0.942,98.055,1453.0
29/04/2013 00:00,1.234,6.165,0.764,0.645,0.937,97.865,1466.5
30/04/2013 00:00,1.232,6.165,0.759,0.644,0.929,97.375,1471.3
01/05/2013 00:00,1.233,6.165,0.758,0.643,0.927,97.315,1446.2
02/05/2013 00:00,1.235,6.156,0.766,0.644,0.935,97.905,1467.3
03/05/2013 00:00,1.233,6.156,0.762,0.642,0.935,99.025,1465.0
06/05/2013 00:00,1.231,6.167,0.765,0.643,0.938,99.315,1468.7
07/05/2013 00:00,1.232,6.154,0.765,0.646,0.94,98.945,1451.0
08/05/2013 00:00,1.228,6.141,0.76,0.644,0.935,98.925,1473.6
09/05/2013 00:00,1.234,6.131,0.767,0.647,0.948,100.655,1468.6
10/05/2013 00:00,1.24,6.142,0.77,0.651,0.958,101.635,1436.2
13/05/2013 00:00,1.241,6.147,0.771,0.654,0.957,101.715,1435.2
14/05/2013 00:00,1.243,6.143,0.773,0.657,0.966,102.295,1426.2
15/05/2013 00:00,1.247,6.146,0.776,0.657,0.966,102.275,1395.7
16/05/2013 00:00,1.251,6.149,0.776,0.655,0.964,102.215,1386.5
17/05/2013 00:00,1.258,6.141,0.779,0.659,0.972,103.245,1361.1
20/05/2013 00:00,1.254,6.139,0.776,0.655,0.967,102.265,1381.6
21/05/2013 00:00,1.26,6.136,0.775,0.66,0.97,102.525,1378.2
22/05/2013 00:00,1.267,6.131,0.778,0.665,0.979,103.125,1370.9
23/05/2013 00:00,1.264,6.134,0.773,0.662,0.969,101.955,1392.0
24/05/2013 00:00,1.265,6.132,0.773,0.661,0.962,101.25,1391.6
27/05/2013 00:00,1.261,6.121,0.773,0.662,0.963,101.065,1393.1
28/05/2013 00:00,1.271,6.122,0.778,0.665,0.977,102.275,1388.0
29/05/2013 00:00,1.266,6.127,0.773,0.661,0.962,101.115,1379.6
30/05/2013 00:00,1.258,6.131,0.766,0.656,0.953,100.745,1412.3
31/05/2013 00:00,1.264,6.135,0.769,0.658,0.955,100.425,1390.9
03/06/2013 00:00,1.252,6.132,0.765,0.653,0.947,99.445,1413.3
04/06/2013 00:00,1.253,6.129,0.764,0.653,0.947,100.005,1398.0
05/06/2013 00:00,1.25,6.128,0.764,0.649,0.942,99.175,1399.6
06/06/2013 00:00,1.245,6.136,0.755,0.641,0.93,97.405,1413.1
07/06/2013 00:00,1.247,6.134,0.757,0.643,0.936,97.555,1382.6
10/06/2013 00:00,1.258,6.134,0.754,0.642,0.934,98.865,1386.4
11/06/2013 00:00,1.255,6.134,0.751,0.639,0.924,96.135,1379.0
12/06/2013 00:00,1.256,6.134,0.75,0.638,0.921,95.835,1391.7
13/06/2013 00:00,1.25,6.134,0.748,0.636,0.922,95.635,1378.0
14/06/2013 00:00,1.252,6.131,0.749,0.637,0.921,93.68,1387.0
17/06/2013 00:00,1.255,6.125,0.748,0.636,0.923,94.655,1382.7
18/06/2013 00:00,1.262,6.129,0.746,0.639,0.92,95.365,1367.0
19/06/2013 00:00,1.268,6.127,0.752,0.646,0.928,96.395,1372.0
20/06/2013 00:00,1.275,6.128,0.756,0.645,0.927,97.245,1284.1
21/06/2013 00:00,1.276,6.133,0.762,0.648,0.935,97.885,1294.3
24/06/2013 00:00,1.276,6.145,0.762,0.648,0.933,97.665,1275.7
